¼à²âÕ¾Î»,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184
163360,6.1,4.11,1.412,0.785,6.06,6.06,2.9,1.75,1.324,2.48,2.28,0.921,1.465,0.834,0.952,1.33
163418,4.205,2.995,1.053,0.611,12.31,4.47,2.245,1.525,1.796,4.12,1.265,1.057,2.295,0.547,2.343,1.075
163478,3.72,3.44,1.53,0.79,2.04,6.58,2.39,1.575,1.816,2.355,2.059,0.945,2.145,0.748,1.613,1.27
163509,4.765,3.055,1.42,0.894,2.35,4.575,2.73,2.395,2.212,3.13,0.988,0.974,1.675,0.766,1.578,1.34
229097,4.085,3.595,1.57,1.13,5.425,2.955,3.675,1.465,1.957,2.785,0.221,2.205,3.14,0.874,1.061,1.59
229119,4.09,4.72,1.42,1.675,1.995,5.485,1.455,1.61,1.515,1.018,1.074,1.35,0.94,1.34,1.382,1.09
229173,6.36,2.965,1.37,0.852,4.453,5.763,2.021,2.445,1.941,1.36,1.106,0.273,1.12,1.33,1.029,1.026
163541,6.1,2.59,1.59,1.31,5.14,4.475,1.414,1.845,3.018,2.02,1.2,0.974,1.75,1.58,2.13,1.65
163599,6.085,4.04,1.242,0.788,7.45,2.515,1.84,1.68,0.934,2.725,1.725,1.023,4.37,1.573,1.329,1.605
163662,3.56,3.54,2.31,1.595,2.9,5.94,1.48,1.22,1.14,2.81,1.55,1.44,1.97,1.65,1.5,1.24
163660,5.68,3.3,1.097,1.315,2.98,2.275,1.362,2.48,1.462,1.147,1.927,0.776,1.487,1.16,1.349,1.745
163722,6.21,4.72,0.842,2.015,3.445,5,1.508,2.63,1.012,2.17,1.44,0.649,1.62,1.01,1.492,1.4
163750,4.81,4.015,1.06,0.68,2.73,3.44,1.943,2.53,1.651,3.2,0.289,0.921,2.07,1.445,1.876,1.4
229148,2.095,4.125,1.045,1.6,5.635,4.645,1.303,2.2,2.24,2.462,0.528,1.455,2.425,1.605,1.303,1.065
163812,4.09,5.61,1.4,1.98,4.78,6.415,1.354,2.47,1.029,3.08,1.295,0.862,1.365,1.24,1.772,1.33
163840,4.195,,1.57,1.315,5.2,5.797,1.373,2.047,1.958,2.56,2.037,1.093,1.73,1.395,1.498,1.095
229198,3.72,3.355,1.445,1.155,5.49,5.575,1.26,2.405,1.551,3.73,2.326,2.77,1.17,1.85,1.331,1.596
